,,,
,Work Package Ref,Service Reference,Work Package
,Work Package A - Contract Management,A.12,"12.2.In accordance with Call-Off Schedule 8 - Business Continuity and Disaster Recovery, the Supplier shall have a BCDR Plan to Deliver the Services at each Buyer Premises throughout the duration of the Call-Off Contract."
,Work Package A - Contract Management,A.12,12.3.The Supplier shall: 
,Work Package A - Contract Management,A.12,12.3.1.    Notify the Buyer as soon as it becomes aware of a Disaster event or a likely Disaster event. The Supplier shall collaborate with the Buyer to ensure that the BCDR Plan interfaces seamlessly to support the Buyer's business;
,Work Package A - Contract Management,A.12,12.3.2.    Liaise with the Buyer to ensure that appropriate communication lines are maintained;
,Work Package A - Contract Management,A.12,12.3.3.    Ensure that its BCDR Plan addresses the loss of or disruption to all energy supplies and shall ensure that these have been reviewed and Tested to a programme agreed with the Buyer. The Supplier shall coordinate the BCDR Plan with the Buyer and utilities providers;
,Work Package A - Contract Management,A.12,12.3.4.    Ensure its BCDR Plan is executed as planned with due expediency following the loss of one or more energy supplies. The Supplier shall inform the Buyer of all scheduled interruptions to any energy supply if it may affect the Buyer's operations; and
,Work Package A - Contract Management,A.12,12.3.5.    Provide its BCDR Plan within thirty (30) Working Days (or as otherwise agreed by the Buyer at 'Further Competition' procedure) following the Call-Off Start Date. The BCDR Plan shall be reviewed on a regular basis and as a minimum once every six (6) months. 
,Work Package A - Contract Management,A.12,"12.4.At the request of the Buyer, the Supplier shall assist in Testing the Buyer's BCDR Plan at intervals to be agreed by both Parties."
,Work Package A - Contract Management,A.12,"12.5.The Buyer may require the provision of professional advice in relation to its own BCDR Plan, including the safe evacuation of premises during an emergency and the operation of emergency systems. This advice shall be of a practical nature and shall relate to the on-going provision of the Services at each Buyer Premises.  The Supplier shall note that the acquisition and setting-up of immediate replacement accommodation shall not be required as part of this Service. "
,Work Package A - Contract Management,A.12,12.6.The Buyer's BCDR Plan is confidential and the Buyer will decide which information will be divulged to assist in the process. Any information divulged must be treated as confidential and shall not be issued to others without the written permission of the Buyer.  
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,13.   Service A:13 – Quality Management Systems
,Work Package A - Contract Management,,13.1.Service A:13 – Quality Management Systems is Mandatory for Lot 1a-1c.
,Work Package A - Contract Management,A.13,13.2.The Supplier shall have in place ISO 9001 accreditation. 
,Work Package A - Contract Management,A.13,13.3.The Supplier shall maintain such accreditation throughout the Framework Period. 
,Work Package A - Contract Management,A.13,13.4.The Supplier shall provide the Authority with evidence of its ISO 9001 accreditation upon request at any time during the Framework Period.
,Work Package A - Contract Management,A.13,"13.5.The Supplier shall implement a Quality Management Plan in accordance with the ISO 9001 Quality Accreditation, which shall include a proposed methodology to align with and support the Buyer's existing ISO 9001 accreditation and its related systems and for delivering continuous improvement."
,Work Package A - Contract Management,A.13,"13.6.The Supplier shall be responsible for undertaking an annual review of their quality management system with the Buyer to ensure compliance with ISO 9001 to ensure the management systems continue to be suitable, adequate and effective."
,Work Package A - Contract Management,A.13,13.7.Where requested by the Buyer the Suppliers quality management system shall be accredited by the UK Accreditation Service (“UCAS”).  Further details of the requirement will be provided at Call-Off. 
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,14.   Service A:14 – Staff and Training
,Work Package A - Contract Management,,14.1.Service A:14 – Staff and Training is Mandatory for Lot 1a-lc.
,Work Package A - Contract Management,A.14,"14.2.The Supplier shall attract, recruit and retain staff to deliver the required Services and any future expansion of the required Services."
